AsAt,OccGroup,Score,n
08/2026,3223 Structural Steel and Welding Trades Workers,45,10
08/2026,3223 Structural Steel and Welding Trades Workers,30,2
08/2026,2349 Other Natural and Physical Science Professionals,65,63
08/2026,2349 Other Natural and Physical Science Professionals,75,52
08/2026,2349 Other Natural and Physical Science Professionals,70,48
08/2026,2349 Other Natural and Physical Science Professionals,80,18
08/2026,2349 Other Natural and Physical Science Professionals,95,3
08/2026,2349 Other Natural and Physical Science Professionals,90,3
08/2026,2349 Other Natural and Physical Science Professionals,85,20
08/2026,2349 Other Natural and Physical Science Professionals,55,6
08/2026,2349 Other Natural and Physical Science Professionals,60,11
08/2026,2349 Other Natural and Physical Science Professionals,50,6
08/2026,2349 Other Natural and Physical Science Professionals,100,3
08/2026,2349 Other Natural and Physical Science Professionals,105,2
08/2026,2349 Other Natural and Physical Science Professionals,40,1
08/2026,1331 Construction Managers,65,509
08/2026,1331 Construction Managers,75,531
08/2026,1331 Construction Managers,70,536
08/2026,1331 Construction Managers,80,276
08/2026,1331 Construction Managers,95,13
08/2026,1331 Construction Managers,90,32
08/2026,1331 Construction Managers,85,90
08/2026,1331 Construction Managers,55,96
08/2026,1331 Construction Managers,60,153
08/2026,1331 Construction Managers,50,21
08/2026,1331 Construction Managers,100,1
08/2026,1331 Construction Managers,40,8
08/2026,1331 Construction Managers,45,12
08/2026,1331 Construction Managers,35,2
08/2026,2343 Environmental Scientists,65,109
08/2026,2343 Environmental Scientists,75,117
08/2026,2343 Environmental Scientists,70,127
08/2026,2343 Environmental Scientists,80,75
08/2026,2343 Environmental Scientists,95,4
08/2026,2343 Environmental Scientists,90,26
08/2026,2343 Environmental Scientists,85,67
08/2026,2343 Environmental Scientists,55,12
08/2026,2343 Environmental Scientists,60,39
08/2026,2343 Environmental Scientists,50,3
08/2026,2343 Environmental Scientists,100,2
08/2026,2343 Environmental Scientists,40,2
08/2026,2343 Environmental Scientists,45,2
08/2026,2711 Barristers,65,1
08/2026,2711 Barristers,75,1
08/2026,2711 Barristers,70,1
08/2026,2711 Barristers,80,4
08/2026,2711 Barristers,85,1
08/2026,2711 Barristers,55,1
08/2026,3132 Telecommunications Technical Specialists,65,169
08/2026,3132 Telecommunications Technical Specialists,75,137
08/2026,3132 Telecommunications Technical Specialists,70,162
08/2026,3132 Telecommunications Technical Specialists,80,83
08/2026,3132 Telecommunications Technical Specialists,90,32
08/2026,3132 Telecommunications Technical Specialists,85,47
08/2026,3132 Telecommunications Technical Specialists,55,55
08/2026,3132 Telecommunications Technical Specialists,60,95
08/2026,3132 Telecommunications Technical Specialists,50,33
08/2026,3132 Telecommunications Technical Specialists,40,4
08/2026,3132 Telecommunications Technical Specialists,45,8
08/2026,3132 Telecommunications Technical Specialists,35,1
08/2026,3312 Carpenters and Joiners,65,515
08/2026,3312 Carpenters and Joiners,75,82
08/2026,3312 Carpenters and Joiners,70,222
08/2026,3312 Carpenters and Joiners,80,26
08/2026,3312 Carpenters and Joiners,90,4
08/2026,3312 Carpenters and Joiners,85,6
08/2026,3312 Carpenters and Joiners,55,121
08/2026,3312 Carpenters and Joiners,60,241
08/2026,3312 Carpenters and Joiners,50,30
08/2026,3312 Carpenters and Joiners,100,1
08/2026,3312 Carpenters and Joiners,40,3
08/2026,3312 Carpenters and Joiners,45,11
08/2026,3312 Carpenters and Joiners,30,1
08/2026,2725 Social Workers,65,250
08/2026,2725 Social Workers,75,416
08/2026,2725 Social Workers,70,437
08/2026,2725 Social Workers,80,158
08/2026,2725 Social Workers,90,7
08/2026,2725 Social Workers,85,56
08/2026,2725 Social Workers,55,27
08/2026,2725 Social Workers,60,46
08/2026,2725 Social Workers,50,7
08/2026,2725 Social Workers,40,1
08/2026,2725 Social Workers,45,3
08/2026,3322 Painting Trades Workers,65,423
08/2026,3322 Painting Trades Workers,75,186
08/2026,3322 Painting Trades Workers,70,341
08/2026,3322 Painting Trades Workers,80,90
08/2026,3322 Painting Trades Workers,90,5
08/2026,3322 Painting Trades Workers,85,22
08/2026,3322 Painting Trades Workers,55,71
08/2026,3322 Painting Trades Workers,60,173
08/2026,3322 Painting Trades Workers,50,25
08/2026,3322 Painting Trades Workers,40,5
08/2026,3322 Painting Trades Workers,45,6
08/2026,3322 Painting Trades Workers,35,1
08/2026,3423 Electronics Trades Workers,65,110
08/2026,3423 Electronics Trades Workers,75,63
08/2026,3423 Electronics Trades Workers,70,84
08/2026,3423 Electronics Trades Workers,80,20
08/2026,3423 Electronics Trades Workers,90,1
08/2026,3423 Electronics Trades Workers,85,4
08/2026,3423 Electronics Trades Workers,55,47
08/2026,3423 Electronics Trades Workers,60,42
08/2026,3423 Electronics Trades Workers,50,6
08/2026,3423 Electronics Trades Workers,45,5
08/2026,2521 Chiropractors and Osteopaths,65,11
08/2026,2521 Chiropractors and Osteopaths,75,80
08/2026,2521 Chiropractors and Osteopaths,70,23
08/2026,2521 Chiropractors and Osteopaths,80,14
08/2026,2521 Chiropractors and Osteopaths,85,5
08/2026,2521 Chiropractors and Osteopaths,55,1
08/2026,2521 Chiropractors and Osteopaths,60,5
08/2026,2521 Chiropractors and Osteopaths,50,2
08/2026,3941 Cabinetmakers,65,44
08/2026,3941 Cabinetmakers,75,23
08/2026,3941 Cabinetmakers,70,45
08/2026,3941 Cabinetmakers,80,7
08/2026,3941 Cabinetmakers,85,5
08/2026,3941 Cabinetmakers,55,5
08/2026,3941 Cabinetmakers,60,13
08/2026,3941 Cabinetmakers,50,8
08/2026,3941 Cabinetmakers,45,2
08/2026,2243 Economists,65,40
08/2026,2243 Economists,75,31
08/2026,2243 Economists,70,32
08/2026,2243 Economists,80,40
08/2026,2243 Economists,90,9
08/2026,2243 Economists,85,18
08/2026,2243 Economists,55,6
08/2026,2243 Economists,60,13
08/2026,2243 Economists,100,1
08/2026,2243 Economists,105,1
08/2026,2243 Economists,45,1
08/2026,3311 Bricklayers and Stonemasons,65,76
08/2026,3311 Bricklayers and Stonemasons,75,18
08/2026,3311 Bricklayers and Stonemasons,70,31
08/2026,3311 Bricklayers and Stonemasons,80,3
08/2026,3311 Bricklayers and Stonemasons,85,1
08/2026,3311 Bricklayers and Stonemasons,55,25
08/2026,3311 Bricklayers and Stonemasons,60,37
08/2026,3311 Bricklayers and Stonemasons,50,16
08/2026,3311 Bricklayers and Stonemasons,40,1
08/2026,3311 Bricklayers and Stonemasons,45,3
08/2026,1342 Health and Welfare Services Managers,65,26
08/2026,1342 Health and Welfare Services Managers,75,10
08/2026,1342 Health and Welfare Services Managers,70,19
08/2026,1342 Health and Welfare Services Managers,80,9
08/2026,1342 Health and Welfare Services Managers,55,6
08/2026,1342 Health and Welfare Services Managers,60,14
08/2026,1342 Health and Welfare Services Managers,50,8
08/2026,2539 Other Medical Practitioners,65,100
08/2026,2539 Other Medical Practitioners,75,179
08/2026,2539 Other Medical Practitioners,70,141
08/2026,2539 Other Medical Practitioners,80,108
08/2026,2539 Other Medical Practitioners,90,23
08/2026,2539 Other Medical Practitioners,85,62
08/2026,2539 Other Medical Practitioners,55,11
08/2026,2539 Other Medical Practitioners,60,26
08/2026,2539 Other Medical Practitioners,50,6
08/2026,3411 Electricians,65,105
08/2026,3411 Electricians,75,16
08/2026,3411 Electricians,70,38
08/2026,3411 Electricians,80,6
08/2026,3411 Electricians,85,1
08/2026,3411 Electricians,55,37
08/2026,3411 Electricians,60,64
08/2026,3411 Electricians,50,41
08/2026,3411 Electricians,40,1
08/2026,3411 Electricians,45,7
08/2026,3411 Electricians,35,2
08/2026,3411 Electricians,20,1
08/2026,2525 Physiotherapists,65,113
08/2026,2525 Physiotherapists,75,183
08/2026,2525 Physiotherapists,70,168
08/2026,2525 Physiotherapists,80,77
08/2026,2525 Physiotherapists,95,2
08/2026,2525 Physiotherapists,90,6
08/2026,2525 Physiotherapists,85,33
08/2026,2525 Physiotherapists,55,26
08/2026,2525 Physiotherapists,60,21
08/2026,2525 Physiotherapists,50,7
08/2026,2525 Physiotherapists,40,2
08/2026,2525 Physiotherapists,45,2
08/2026,2512 Medical Imaging Professionals,65,34
08/2026,2512 Medical Imaging Professionals,75,79
08/2026,2512 Medical Imaging Professionals,70,57
08/2026,2512 Medical Imaging Professionals,80,15
08/2026,2512 Medical Imaging Professionals,90,2
08/2026,2512 Medical Imaging Professionals,85,4
08/2026,2512 Medical Imaging Professionals,55,5
08/2026,2512 Medical Imaging Professionals,60,5
08/2026,"4523 Sports Coaches, Instructors and Officials",65,3
08/2026,"4523 Sports Coaches, Instructors and Officials",75,5
08/2026,"4523 Sports Coaches, Instructors and Officials",70,3
08/2026,"4523 Sports Coaches, Instructors and Officials",80,2
08/2026,"4523 Sports Coaches, Instructors and Officials",85,2
08/2026,"4523 Sports Coaches, Instructors and Officials",55,1
08/2026,"4523 Sports Coaches, Instructors and Officials",60,2
08/2026,3222 Sheetmetal Trades Workers,65,4
08/2026,3222 Sheetmetal Trades Workers,75,3
08/2026,3222 Sheetmetal Trades Workers,70,2
08/2026,3222 Sheetmetal Trades Workers,80,2
08/2026,3222 Sheetmetal Trades Workers,85,1
08/2026,3222 Sheetmetal Trades Workers,60,1
08/2026,2527 Speech Professionals and Audiologists,65,61
08/2026,2527 Speech Professionals and Audiologists,75,68
08/2026,2527 Speech Professionals and Audiologists,70,65
08/2026,2527 Speech Professionals and Audiologists,80,31
08/2026,2527 Speech Professionals and Audiologists,90,2
08/2026,2527 Speech Professionals and Audiologists,85,16
08/2026,2527 Speech Professionals and Audiologists,55,11
08/2026,2527 Speech Professionals and Audiologists,60,18
08/2026,2527 Speech Professionals and Audiologists,50,4
08/2026,2527 Speech Professionals and Audiologists,100,1
08/2026,2527 Speech Professionals and Audiologists,45,1
08/2026,2524 Occupational Therapists,65,82
08/2026,2524 Occupational Therapists,75,174
08/2026,2524 Occupational Therapists,70,153
08/2026,2524 Occupational Therapists,80,45
08/2026,2524 Occupational Therapists,95,1
08/2026,2524 Occupational Therapists,90,2
08/2026,2524 Occupational Therapists,85,15
08/2026,2524 Occupational Therapists,55,13
08/2026,2524 Occupational Therapists,60,20
08/2026,2524 Occupational Therapists,50,5
08/2026,2524 Occupational Therapists,40,1
08/2026,2524 Occupational Therapists,45,2
08/2026,2524 Occupational Therapists,115,3
08/2026,2519 Other Health Diagnostic and Promotion Professionals,65,3
08/2026,2519 Other Health Diagnostic and Promotion Professionals,75,5
08/2026,2519 Other Health Diagnostic and Promotion Professionals,70,4
08/2026,2519 Other Health Diagnostic and Promotion Professionals,80,1
08/2026,2519 Other Health Diagnostic and Promotion Professionals,55,1
08/2026,3421 Airconditioning and Refrigeration Mechanics,65,18
08/2026,3421 Airconditioning and Refrigeration Mechanics,75,5
08/2026,3421 Airconditioning and Refrigeration Mechanics,70,11
08/2026,3421 Airconditioning and Refrigeration Mechanics,80,1
08/2026,3421 Airconditioning and Refrigeration Mechanics,55,6
08/2026,3421 Airconditioning and Refrigeration Mechanics,60,6
08/2026,3421 Airconditioning and Refrigeration Mechanics,50,3
08/2026,3421 Airconditioning and Refrigeration Mechanics,45,1
08/2026,3421 Airconditioning and Refrigeration Mechanics,35,1
08/2026,2346 Medical Laboratory Scientists,65,99
08/2026,2346 Medical Laboratory Scientists,75,199
08/2026,2346 Medical Laboratory Scientists,70,140
08/2026,2346 Medical Laboratory Scientists,80,93
08/2026,2346 Medical Laboratory Scientists,95,1
08/2026,2346 Medical Laboratory Scientists,90,11
08/2026,2346 Medical Laboratory Scientists,85,31
08/2026,2346 Medical Laboratory Scientists,55,7
08/2026,2346 Medical Laboratory Scientists,60,20
08/2026,2346 Medical Laboratory Scientists,50,1
08/2026,2346 Medical Laboratory Scientists,100,1
08/2026,2346 Medical Laboratory Scientists,45,3
08/2026,2415 Special Education Teachers,65,29
08/2026,2415 Special Education Teachers,75,23
08/2026,2415 Special Education Teachers,70,20
08/2026,2415 Special Education Teachers,80,7
08/2026,2415 Special Education Teachers,55,3
08/2026,2415 Special Education Teachers,60,9
08/2026,2415 Special Education Teachers,30,1
08/2026,2723 Psychologists,65,43
08/2026,2723 Psychologists,75,47
08/2026,2723 Psychologists,70,52
08/2026,2723 Psychologists,80,22
08/2026,2723 Psychologists,95,1
08/2026,2723 Psychologists,90,3
08/2026,2723 Psychologists,85,12
08/2026,2723 Psychologists,55,6
08/2026,2723 Psychologists,60,14
08/2026,2723 Psychologists,50,6
08/2026,2723 Psychologists,105,1
08/2026,2541 Midwives,65,23
08/2026,2541 Midwives,75,29
08/2026,2541 Midwives,70,32
08/2026,2541 Midwives,80,13
08/2026,2541 Midwives,90,1
08/2026,2541 Midwives,85,1
08/2026,2541 Midwives,60,7
08/2026,2541 Midwives,50,1
08/2026,2541 Midwives,40,1
08/2026,2541 Midwives,45,1
08/2026,3341 Plumbers,65,31
08/2026,3341 Plumbers,75,5
08/2026,3341 Plumbers,70,11
08/2026,3341 Plumbers,80,6
08/2026,3341 Plumbers,95,1
08/2026,3341 Plumbers,85,1
08/2026,3341 Plumbers,55,9
08/2026,3341 Plumbers,60,17
08/2026,3341 Plumbers,50,3
08/2026,3341 Plumbers,40,2
08/2026,3341 Plumbers,45,5
08/2026,3241 Panelbeaters,65,9
08/2026,3241 Panelbeaters,70,3
08/2026,3241 Panelbeaters,80,1
08/2026,3241 Panelbeaters,85,1
08/2026,3241 Panelbeaters,55,2
08/2026,3241 Panelbeaters,60,1
08/2026,3241 Panelbeaters,45,1
08/2026,3991 Boat Builders and Shipwrights,65,8
08/2026,3991 Boat Builders and Shipwrights,75,6
08/2026,3991 Boat Builders and Shipwrights,70,6
08/2026,3991 Boat Builders and Shipwrights,80,1
08/2026,3991 Boat Builders and Shipwrights,55,1
08/2026,3991 Boat Builders and Shipwrights,60,2
08/2026,2533 Internal Medicine Specialists,65,18
08/2026,2533 Internal Medicine Specialists,75,10
08/2026,2533 Internal Medicine Specialists,70,14
08/2026,2533 Internal Medicine Specialists,80,7
08/2026,2533 Internal Medicine Specialists,95,2
08/2026,2533 Internal Medicine Specialists,90,1
08/2026,2533 Internal Medicine Specialists,85,6
08/2026,2533 Internal Medicine Specialists,55,6
08/2026,2533 Internal Medicine Specialists,60,11
08/2026,2533 Internal Medicine Specialists,50,3
08/2026,2533 Internal Medicine Specialists,40,1
08/2026,3332 Plasterers,65,26
08/2026,3332 Plasterers,75,9
08/2026,3332 Plasterers,70,14
08/2026,3332 Plasterers,80,1
08/2026,3332 Plasterers,55,5
08/2026,3332 Plasterers,60,10
08/2026,3332 Plasterers,50,1
08/2026,3332 Plasterers,45,2
08/2026,3611 Animal Attendants and Trainers,65,2
08/2026,3611 Animal Attendants and Trainers,80,1
08/2026,3334 Wall and Floor Tilers,65,75
08/2026,3334 Wall and Floor Tilers,75,13
08/2026,3334 Wall and Floor Tilers,70,35
08/2026,3334 Wall and Floor Tilers,80,3
08/2026,3334 Wall and Floor Tilers,85,3
08/2026,3334 Wall and Floor Tilers,55,15
08/2026,3334 Wall and Floor Tilers,60,40
08/2026,3334 Wall and Floor Tilers,50,3
08/2026,2112 Music Professionals,65,5
08/2026,2112 Music Professionals,75,1
08/2026,2112 Music Professionals,70,3
08/2026,2112 Music Professionals,85,2
08/2026,2112 Music Professionals,55,1
08/2026,2112 Music Professionals,60,1
08/2026,2112 Music Professionals,50,1
